Month,Count
2004-01,80
2004-02,71
2004-03,41
2004-04,37
2004-05,33
2004-06,47
2004-07,41
2004-08,40
2004-09,36
2004-10,48
2004-11,35
2004-12,45
2005-01,39
2005-02,100
2005-03,47
2005-04,47
2005-05,63
2005-06,48
2005-07,44
2005-08,31
2005-09,25
2005-10,27
2005-11,28
2005-12,28
2006-01,26
2006-02,27
2006-03,21
2006-04,22
2006-05,25
2006-06,34
2006-07,32
2006-08,34
2006-09,33
2006-10,24
2006-11,27
2006-12,44
2007-01,34
2007-02,29
2007-03,20
2007-04,18
2007-05,38
2007-06,84
2007-07,31
2007-08,22
2007-09,18
2007-10,18
2007-11,18
2007-12,19
2008-01,16
2008-02,17
2008-03,14
2008-04,13
2008-05,12
2008-06,14
2008-07,13
2008-08,27
2008-09,12
2008-10,15
2008-11,14
2008-12,14
2009-01,10
2009-02,9
2009-03,9
2009-04,9
2009-05,10
2009-06,13
2009-07,11
2009-08,9
2009-09,6
2009-10,6
2009-11,7
2009-12,7
2010-01,7
2010-02,6
2010-03,6
2010-04,7
2010-05,7
2010-06,7
2010-07,9
2010-08,11
2010-09,10
2010-10,6
2010-11,6
2010-12,7
2011-01,5
2011-02,6
2011-03,5
2011-04,5
2011-05,5
2011-06,10
2011-07,8
2011-08,5
2011-09,5
2011-10,4
2011-11,5
2011-12,5
2012-01,5
2012-02,4
2012-03,4
2012-04,4
2012-05,4
2012-06,5
2012-07,4
2012-08,4
2012-09,5
2012-10,3
2012-11,4
2012-12,4
2013-01,4
2013-02,3
2013-03,3
2013-04,3
2013-05,5
2013-06,5
2013-07,4
2013-08,3
2013-09,3
2013-10,5
2013-11,3
2013-12,5
2014-01,4
2014-02,4
2014-03,3
2014-04,3
2014-05,3
2014-06,3
2014-07,5
2014-08,6
2014-09,5
2014-10,3
2014-11,3
2014-12,3
2015-01,3
2015-02,4
2015-03,3
2015-04,3
2015-05,3
2015-06,4
2015-07,4
2015-08,3
2015-09,2
2015-10,2
2015-11,2
2015-12,3
2016-01,3
2016-02,2
2016-03,2
2016-04,2
2016-05,2
2016-06,2
2016-07,2
2016-08,2
2016-09,2
2016-10,2
2016-11,2
2016-12,2
2017-01,2
2017-02,2
2017-03,2
2017-04,2
2017-05,2
2017-06,2
2017-07,2
2017-08,2
2017-09,2
2017-10,2
2017-11,2
2017-12,2
2018-01,6
2018-02,3
2018-03,2
2018-04,2
2018-05,2
2018-06,2
2018-07,2
2018-08,2
2018-09,2
2018-10,2
2018-11,3
2018-12,4
2019-01,3
2019-02,2
2019-03,2
2019-04,2
2019-05,2
2019-06,2
2019-07,2
2019-08,1
2019-09,2
2019-10,2
2019-11,2
2019-12,2
2020-01,2
2020-02,2
2020-03,2
2020-04,2
2020-05,2
2020-06,1
2020-07,2
2020-08,2
2020-09,6
2020-10,3
2020-11,2
2020-12,2
2021-01,2
2021-02,3
2021-03,3
2021-04,2
2021-05,2
2021-06,2
2021-07,2
2021-08,4
2021-09,2
2021-10,3
2021-11,8
2021-12,2
2022-01,3
2022-02,4
