Year,January,February,March,April,May,June,July,August,September,October,November,December
1900,100,37.4,40.7,58,68.3,79,85.8,84.7,77.6,67.4,54.9,41.7
1901,38.2,31.6,44.9,54.1,64.5,80.4,85.8,81.7,75.3,62.9,44.1,41.2
1902,36.3,34.6,50.8,57.4,67,75.2,80,79.5,72.4,63.9,57.3,37.9
1903,50,39.1,55.2,59.5,72,69.6,82.4,75.2,73.8,64.1,48.1,37.2
1904,31.1,32.7,42.7,53.5,72.5,78.7,82.1,79.8,73.8,60.9,47.9,35.3
1905,34.9,31.3,47.6,57.3,68.9,77.9,84.2,80.7,75.8,66,50.4,44.2
1906,43.5,39.6,41.5,59.8,71.4,81.5,84.1,82.9,77.4,62.9,51.4,41.1
1907,70,32.8,50,53.4,63.9,76,84.4,80.7,75.4,59.2,50.6,43.2
1908,39.6,34.1,47.5,59.9,70.5,80.5,86.3,81,73.8,66.4,51.7,42.9
1909,40.9,43.8,44.3,55.3,67.8,78.6,81.2,79.4,73.5,60.8,55.2,37.1
1910,100,35.4,50.2,62.4,68,75,84.3,78.2,75.5,66.2,46.9,35.7
1911,41.9,37.1,41.5,54.6,71.7,76.4,86.2,81.5,75.5,62.1,48.8,45.4
1912,30.5,35.8,44.8,58.8,71.3,78.4,83.9,80,73.8,67.2,54.1,45.1
1913,10,39.2,54,59.7,69.3,79.7,85.1,81.4,71.9,64.6,54.1,45.1
1914,38.2,32.7,43.3,55.4,74.5,77.4,79.5,82.7,76.7,66.7,51.8,37.5
1915,40.2,42,44.7,63.6,67.2,76.5,82,79.2,78.5,65,53,39.1
1916,43.6,34.5,39.1,54.8,69.5,73.2,82.8,83.3,76.3,66.4,52.5,39
1917,20,36,45.6,56.4,61.7,78.5,83.2,83.7,71.6,60.4,48.6,31.6
1918,27.7,38.8,51.6,58.9,74.5,75.9,82.7,84.5,71.5,67,52.5,45.5
1919,41.8,40.8,51.1,57.9,70.5,79.7,82.5,78.4,75.2,66.5,52,36.7
1920,30.8,35.2,49.1,57.1,68.5,79,83.2,82.5,77.9,70.5,50.5,43.1
1921,100,40.6,57.6,66,71.2,81.2,85.8,80.4,80.7,65,50.8,39.2
1922,34.4,40.9,48.8,60.7,75.1,79.9,82.1,80.5,76.8,66.9,52.4,39.5
1923,36.3,32.2,45.3,60,70.1,83.7,82.9,82,76.4,64.4,51.8,47.4
1924,40.4,34.9,46,57.2,64.8,76.7,83.5,83.2,72.9,66.5,51.3,40.6
1925,100,44.8,52.5,60.7,69.1,84.1,82.2,82.6,77.1,57.8,50.4,40.6
1926,38.2,35.7,43.5,55.5,69.6,76.1,84.5,81.3,73.2,63.1,52,35.3
1927,37.8,41.9,50.9,57,66.7,76.3,81.7,75.7,76.7,67.2,55.8,43.3
1928,41,40.1,45.9,56.9,67.6,74.8,84.2,82.4,71.5,67,53.3,45
1929,38.8,39.3,53.8,58.3,71,80.7,85.2,82,77.9,62.1,51.7,41.6
1930,90,44.9,47.7,56,73.2,82,85.2,81.7,79.8,63.3,51.5,39.3
1931,39.2,41.3,46,59.1,69.9,79.3,85.3,82.9,81.3,69.9,58.1,48
1932,48.6,42.9,44.5,57.5,70.8,79.8,85.4,85.3,78.6,65.5,50.8,45.3
1933,46.6,41.4,44.5,57.9,72.8,81.7,84.5,82.1,76.9,64.7,48.3,39.7
1934,100,28.3,45.9,58.4,73.3,82.6,86.3,79.9,76.2,61.9,55.1,40
1935,36.1,38.2,52,57.1,69.2,79,85.2,82.8,73.6,66.2,54.3,35.1
1936,35.3,32.4,52.7,55.2,74.9,77.7,86,84.3,75.9,65,50.2,45.9
1937,46.7,41.7,42.7,57.1,74.2,80.6,85.3,84.7,74.8,62.2,52.9,40.8
1938,38.3,42.7,52.4,62.1,69.4,78.9,83.9,86.9,73.6,68,55.5,42.6
1939,37.8,44.9,46.6,55.3,74.5,81.8,85.1,85.4,76.9,65.6,50.3,42.9
1940,31,38.9,41,53.9,68,79.1,85.7,79.1,75.7,62,51.2,44.9
1941,35.6,37.3,43.7,66.5,75.5,80.8,83.9,83.8,80.4,69,57.2,44.6
1942,37.5,36.5,49.5,63.6,73.8,79.5,85.1,81.3,77.1,66.3,54,38
1943,37.2,42.1,48.3,54.9,71.4,84.6,85.5,85.3,76.3,63.3,52.6,40.5
1944,40,40.1,44.5,57.1,76.6,81.3,89.2,88,77.8,65.5,52.4,38.3
1945,32.5,40.6,60.1,64.4,67.8,79.6,81.7,82.1,78.2,64.4,54.4,36.5
1946,41.2,39.1,58.9,59.3,71.1,79.1,84.1,78.9,78.8,70.5,57.6,45.3
1947,44.1,36.5,44.4,59,69.1,77.3,83.3,84,77.2,72.5,49.9,39.8
1948,31.2,37.8,50.6,58.9,67.6,77.5,85.3,82.7,79.4,64.4,58.7,44
1949,44.6,46,51,62.4,72.8,83.4,88.3,85,74.7,70.9,53,46
1950,48.6,37.6,44.6,56.5,66.9,79.4,83.5,81.2,71.9,67.9,55.5,40.5
1951,43.5,43.6,48.1,61.4,72.6,78,85.5,83.3,77.1,65.5,51,44.4
1952,43.4,42.1,46.4,62.4,69.3,82.4,89.2,82.5,78.7,64.6,54.5,43.6
1953,43.4,45.5,49.5,59.6,71.5,83.8,87.3,84.7,79.1,69.2,57,47.6
1954,38.1,47.9,49.3,63.2,67.7,81,86.7,81.3,75.1,69.6,52.7,41.7
1955,36.7,42.6,49.5,62,75.8,77.5,90,86,75.3,67.4,50.8,35.9
1956,37.3,42.6,43.7,55.7,67.9,80.2,80.5,82,72.5,66,53.2,47.2
1957,34.8,43.4,48.6,62.1,72.5,83.2,87.2,82.2,77.8,63.9,55.5,45.4
1958,37.5,32.8,45.4,60.9,66.4,75.6,83.2,82.8,76.1,63.1,54.3,35.9
1959,38.1,40.1,48.3,62.4,76.4,79.5,83.8,85.3,80.9,66.6,52.9,43.8
1960,38.9,42.9,40.5,63.3,71,80.2,82.6,82.5,75.2,66.4,57.1,38.1
1961,33.5,43.5,48.9,56.2,69,81.6,86.4,84.2,82.5,69.9,55.5,41
1962,39.6,37.9,51.2,62.4,74.9,82.1,83.7,81,73.1,65.5,49.3,37.4
1963,36.2,36,50.5,63.4,71.5,80.4,86.3,81.3,72.1,72.1,56.2,36
1964,41.8,38.9,50.8,57.5,76,81,84,83.1,77,63.7,56.6,42.1
1965,35.6,40.8,46.3,58.9,76.9,79.8,83.3,81.8,75.1,66,53.2,46.3
1966,38.6,41.3,50.2,57.5,70.4,85.6,90.3,86.1,73.9,64.5,56,41.2
1967,43.2,36.7,44.6,58.8,63.5,82.3,83.1,81.5,75.9,65.2,48.6,43.8
1968,33.3,36.6,51,65.3,68.2,78.2,85.8,84.8,79.4,67.9,52.6,40.6
1969,37.3,37.3,47.3,65,75.4,81.3,82.1,86.2,77.2,66,52.2,38.4
1970,31.5,40.7,45.3,60.8,73.4,78.8,84.7,86.3,79,66,54.2,39.4
1971,33.1,40.4,46.8,59.9,70,82.9,85.8,84.2,77.3,69.1,50.8,47.1
1972,42.1,38.9,47.7,59,72.4,75,85.1,84.4,77.9,61.1,50.2,43.5
1973,42.1,40.1,53.7,61.8,67.1,81.1,85.8,85.4,78.2,69.1,55.4,45.5
1974,41.4,38.7,50.1,65,69.4,76.9,86.4,85.5,74.6,62.5,55.4,44.1
1975,43.3,41.7,47.9,56.6,75.2,78.3,83.4,82.4,71.2,67,58.8,42.2
1976,34.2,48.6,52,64.8,69.6,81.9,83.3,83,75.1,59.5,47.7,36.7
1977,27.7,40.1,55,63.6,75.1,78.1,88.2,83.2,74.7,61,51.5,41
1978,33.9,32.8,45.9,60.3,69.3,79.7,81.6,82.5,73.5,62.7,53.6,45.1
1979,40.2,31.4,55.5,60,73.1,77,84.9,84.1,78,64,58.8,46.9
1980,39.4,37.9,48.5,62.7,74.6,79.2,87.6,88.3,79.2,62.6,51.2,39.9
1981,32.3,46.3,49.5,65.1,73.7,80.7,86.3,83.8,74.5,61.6,53.3,40.9
1982,32.5,41.6,48.5,60.4,72.1,75.5,86.1,81.1,75.5,65.8,57.5,48.7
1983,39.6,42.5,50.3,59.4,68.1,82.5,88.7,85.8,80.5,64.9,55.4,41.3
1984,35.1,46.8,43.2,59.5,69.5,82.6,81.2,83.6,74,68.5,54.6,50
1985,34.6,43,54.9,64.4,74.5,75.8,84,82.4,78.4,67,55.8,40.1
1986,40.8,36.9,53.9,62.5,75.7,80.8,84.1,81.1,76,66,53.1,44.4
1987,37.5,40.8,53.9,61,73.1,81.3,86.6,82.8,75.1,62.5,55.3,45.3
1988,35.8,41.9,52.2,59.3,71.4,82.1,88.8,87,76.3,60.3,56.5,42.9
1989,44,41.2,50.8,61.4,70.5,80.1,83.4,82,76.2,66.8,53,32.6
1990,47.5,48.5,54.2,62.3,68.8,81.4,84.7,83.5,75.6,69.5,58.3,49.7
1991,41.2,47.6,52.1,64.4,78.9,84.4,87.1,86,76.4,66.9,55.1,46.3
1992,42.5,43.2,47.8,58.8,70.8,79.2,82.5,81.5,74.8,62.5,52.5,43.7
1993,42.5,39.1,46.7,62.5,75.5,83.2,90.2,86,74.8,63.5,56.6,43.5
1994,33.2,37.9,48,65.2,72.4,84.7,87.9,82.4,75.7,66.6,59.5,48.9
1995,43.1,38.8,52.9,61.4,70.1,80.3,87,87.4,76.6,70,50.1,37.9
1996,37,40.3,46.2,60,69.5,78.3,79.8,81.4,74.3,63.3,48.9,46.6
1997,39.2,47.2,49.2,60.1,67.9,79.1,84.3,80.7,74.5,63.6,49.8,43.5
1998,45.8,46.2,52.2,62.3,72.4,75.8,83.8,84.4,78.1,63.9,54.2,48.9
1999,40.8,45.3,50.6,62.3,71.1,81.3,90.1,83.4,75.8,63.4,57.2,45.7
2000,37.9,43.7,55,58.2,71.6,78.8,79,78.6,72.9,64.4,50.9,37.2
2001,38.8,43.2,45.6,62.8,71.5,80.3,81,86.5,75.3,66.3,59.8,50
2002,45.4,48.3,52.4,64.8,69.4,79.8,87,86,78,61.3,51.9,41.1
2003,32.9,35.6,52,57.8,66.1,75.6,83,83.3,73.8,61.8,56.2,43.5
2004,31,41.7,50.4,62.7,74.3,78.8,80.9,80.7,76.1,61.8,54.8,44.4
2005,37.4,42.6,46.4,64.6,67.3,82.2,84.9,87.1,81.6,63.7,56.8,40.4
2006,47.5,42.4,50.6,65.3,71.5,77.7,85.2,82.8,73.1,63.3,57.4,49.5
2007,43.6,34.5,50.9,57.9,75.3,79.6,82.3,81.4,78,70.5,51.6,41.6
2008,42.4,43.1,50.3,63.5,68.9,82.6,86.2,82.6,75.8,62.3,51.2,44.9
2009,33.5,44.5,49.7,62.9,70.5,74.5,80.4,82.5,73,61.1,56.6,41.9
2010,38.1,37.9,55,67.3,74.4,83.1,90.1,85.3,78.7,65,53.6,37.7
2011,34.7,43.8,49.9,62.6,72.4,80.2,88.9,82.9,76.2,63.8,58.5,49.7
2012,44.2,46.8,59.2,63.6,72,79,87.3,84.2,75.9,63.7,49.7,46.3
2013,40.8,39.4,46.3,61.3,71.2,80.3,86.3,81.5,76.3,66.9,52.1,44.5
2014,35.4,37.5,45.5,61.2,72.5,80.4,83.5,82.5,77.3,65.9,51.6,45.1
2015,36.1,32.1,45.3,62.6,78.4,78.5,85.9,86.9,82.6,65.4,59.3,56.3
2016,40.8,44.8,57.4,62.2,70.6,80.9,86.3,86.6,79,65.8,56.6,43.9
2017,42.7,48.7,46.8,64.9,68.2,79.3,83.7,80.9,77.8,71.2,54.1,40
2018,38.6,49.6,46.4,57.1,75.5,79.6,84.9,84.3,76.2,63.5,49.7,45.5
2019,39,42.6,48.7,63.3,69.9,79,87.1,82.5,78,66.3,0,0
